iter	Passed	Remaining
414	2859	4031
415	2866	4023
416	2872	4016
417	2878	4008
418	2885	4001
419	2892	3994
420	2898	3986
421	2905	3979
422	2912	3972
423	2918	3964
424	2925	3957
425	2931	3950
426	2938	3942
427	2944	3935
428	2951	3928
429	2959	3923
430	2968	3919
431	2977	3915
432	2990	3915
433	3000	3912
434	3006	3905
435	3014	3899
436	3021	3892
437	3027	3885
438	3034	3877
439	3041	3870
440	3047	3863
441	3054	3855
442	3060	3848
443	3067	3841
444	3074	3833
445	3080	3826
446	3087	3819
447	3093	3812
448	3100	3804
449	3106	3797
450	3112	3789
451	3119	3782
452	3126	3775
453	3132	3767
454	3140	3761
455	3146	3753
456	3153	3746
457	3159	3739
458	3166	3732
459	3172	3724
460	3179	3717
461	3185	3709
462	3191	3702
463	3198	3694
464	3205	3687
465	3211	3680
466	3218	3672
467	3225	3666
468	3231	3658
469	3238	3651
470	3244	3643
471	3250	3636
472	3257	3629
473	3263	3621
474	3269	3614
475	3276	3606
476	3283	3599
477	3289	3592
478	3295	3584
479	3302	3577
480	3308	3569
481	3315	3562
482	3321	3555
483	3328	3548
484	3335	3541
485	3342	3534
486	3348	3527
487	3355	3520
488	3361	3512
489	3367	3505
490	3374	3497
491	3380	3490
492	3386	3482
493	3392	3475
494	3398	3467
495	3405	3460
496	3411	3452
497	3418	3445
498	3424	3438
499	3431	3431
500	3437	3424
501	3444	3416
502	3450	3409
503	3457	3402
504	3464	3395
505	3470	3388
506	3477	3381
507	3484	3374
508	3491	3368
509	3498	3361
510	3505	3354
511	3512	3347
512	3518	3340
513	3525	3333
514	3531	3326
515	3537	3318
516	3544	3311
517	3550	3303
518	3557	3296
519	3564	3289
520	3570	3282
521	3577	3275
522	3583	3268
523	3590	3261
524	3596	3254
525	3602	3246
526	3609	3239
527	3615	3232
528	3622	3224
529	3628	3217
530	3634	3210
531	3643	3204
532	3654	3201
533	3665	3198
534	3675	3194
535	3681	3187
536	3688	3179
537	3694	3172
538	3700	3165
539	3707	3158
540	3713	3150
541	3720	3143
542	3726	3136
543	3733	3129
544	3739	3122
545	3746	3114
546	3752	3107
547	3758	3100
548	3764	3092
549	3771	3085
550	3778	3078
551	3785	3072
552	3791	3064
553	3798	3057
554	3804	3050
555	3811	3043
556	3817	3036
557	3824	3029
558	3830	3021
559	3836	3014
560	3842	3007
561	3849	2999
562	3855	2992
563	3861	2985
564	3867	2977
565	3874	2970
566	3880	2963
567	3887	2956
568	3893	2949
569	3899	2941
570	3907	2935
571	3913	2928
572	3920	2921
573	3926	2914
574	3932	2906
575	3940	2900
576	3946	2893
577	3953	2886
578	3959	2879
579	3966	2872
580	3972	2864
581	3978	2857
582	3985	2850
583	3991	2843
584	3997	2836
585	4004	2828
586	4010	2821
587	4016	2814
588	4022	2807
589	4028	2799
590	4035	2792
591	4041	2785
592	4047	2778
593	4055	2771
594	4062	2765
595	4069	2758
596	4075	2751
597	4081	2743
598	4087	2736
599	4093	2729
600	4099	2721
601	4106	2714
602	4112	2707
603	4119	2700
604	4125	2693
605	4131	2686
606	4137	2679
607	4144	2672
608	4151	2665
609	4157	2657
610	4163	2650
611	4170	2643
612	4176	2636
613	4182	2629
614	4188	2622
615	4194	2614
616	4201	2607
617	4207	2600
618	4213	2593
619	4220	2586
620	4226	2579
621	4233	2572
622	4239	2565
623	4245	2558
624	4251	2551
625	4258	2544
626	4264	2537
627	4271	2530
628	4277	2522
629	4283	2515
630	4289	2508
631	4296	2501
632	4304	2495
633	4314	2490
634	4324	2485
635	4336	2481
636	4342	2474
637	4348	2467
638	4355	2460
639	4362	2453
640	4368	2446
641	4375	2439
642	4381	2432
643	4387	2425
644	4394	2418
645	4400	2411
646	4406	2404
647	4413	2397
648	4420	2390
649	4426	2383
650	4432	2376
651	4439	2369
652	4446	2362
653	4452	2355
654	4458	2348
655	4467	2342
656	4474	2335
657	4480	2328
658	4487	2321
659	4493	2314
660	4499	2307
661	4505	2300
662	4512	2293
663	4517	2286
664	4523	2278
665	4530	2271
666	4537	2265
667	4546	2259
668	4553	2252
669	4559	2245
670	4565	2238
671	4571	2231
672	4577	2223
673	4583	2216
674	4589	2209
675	4595	2202
676	4602	2195
677	4608	2188
678	4615	2181
679	4629	2178
680	4636	2172
681	4644	2165
682	4651	2158
683	4658	2152
684	4664	2145
685	4671	2138
686	4677	2130
687	4683	2124
688	4690	2117
689	4696	2110
690	4702	2103
691	4709	2096
692	4715	2089
693	4721	2081
694	4728	2075
695	4734	2067
696	4740	2060
697	4747	2054
698	4753	2047
699	4760	2040
700	4766	2033
701	4773	2026
702	4780	2019
703	4786	2012
704	4792	2005
705	4799	1998
706	4805	1991
707	4811	1984
708	4817	1977
709	4823	1970
710	4830	1963
711	4836	1956
712	4842	1949
713	4849	1942
714	4855	1935
715	4861	1928
716	4867	1921
717	4873	1914
718	4879	1907
719	4885	1899
720	4891	1892
721	4898	1886
722	4904	1879
723	4911	1872
724	4917	1865
725	4923	1858
726	4929	1851
727	4935	1844
728	4941	1837
729	4948	1830
730	4954	1823
731	4960	1816
732	4968	1809
733	4976	1803
734	4991	1799
735	5003	1794
736	5011	1788
737	5019	1781
738	5026	1775
739	5033	1768
740	5040	1761
741	5046	1754
742	5053	1747
743	5059	1740
744	5065	1733
745	5072	1727
746	5079	1720
747	5085	1713
748	5092	1706
749	5098	1699
750	5105	1692
751	5111	1685
752	5118	1678
753	5124	1672
754	5132	1665
755	5140	1659
756	5146	1652
757	5153	1645
758	5159	1638
759	5166	1631
760	5172	1624
761	5179	1617
762	5186	1610
763	5192	1604
764	5199	1597
765	5205	1590
766	5212	1583
767	5219	1576
768	5227	1570
769	5234	1563
770	5241	1556
771	5248	1550
772	5255	1543
773	5261	1536
774	5268	1529
775	5275	1522
776	5284	1516
777	5291	1509
778	5298	1503
779	5306	1496
780	5313	1490
781	5321	1483
782	5328	1476
783	5335	1469
784	5342	1463
785	5348	1456
786	5356	1449
787	5362	1442
788	5369	1436
789	5376	1429
790	5383	1422
791	5391	1415
792	5400	1409
793	5406	1402
794	5413	1396
795	5421	1389
796	5429	1382
797	5437	1376
798	5445	1369
799	5452	1363
800	5458	1356
801	5465	1349
802	5471	1342
803	5478	1335
804	5484	1328
805	5491	1321
806	5497	1314
807	5504	1308
808	5511	1301
809	5518	1294
810	5525	1287
811	5531	1280
812	5538	1273
813	5544	1266
814	5550	1260
815	5557	1253
816	5563	1246
817	5569	1239
818	5576	1232
819	5582	1225
820	5588	1218
821	5594	1211
822	5601	1204
823	5607	1197
824	5614	1190
825	5620	1184
826	5627	1177
827	5633	1170
828	5640	1163
829	5648	1156
830	5656	1150
831	5667	1144
832	5678	1138
833	5688	1132
834	5696	1125
835	5703	1118
836	5710	1112
837	5716	1105
838	5723	1098
839	5730	1091
840	5737	1084
841	5743	1077
842	5750	1070
843	5757	1064
844	5764	1057
845	5771	1050
846	5779	1043
847	5786	1037
848	5794	1030
849	5801	1023
850	5808	1016
851	5815	1010
852	5822	1003
853	5828	996
854	5835	989
855	5843	982
856	5851	976
857	5858	969
858	5868	963
859	5875	956
860	5881	949
861	5889	942
862	5896	935
863	5903	929
864	5910	922
865	5916	915
866	5923	908
867	5929	901
868	5936	894
869	5942	887
870	5949	881
871	5955	874
872	5961	867
873	5968	860
874	5974	853
875	5981	846
876	5987	839
877	5993	832
878	6000	825
879	6007	819
880	6013	812
881	6020	805
882	6026	798
883	6032	791
884	6038	784
885	6045	777
886	6051	770
887	6058	764
888	6064	757
889	6070	750
890	6077	743
891	6083	736
892	6090	729
893	6096	722
894	6103	716
895	6109	709
896	6116	702
897	6122	695
898	6128	688
899	6135	681
900	6141	674
901	6147	667
902	6154	661
903	6160	654
904	6166	647
905	6173	640
906	6179	633
907	6186	626
908	6192	619
909	6199	613
910	6205	606
911	6212	599
912	6219	592
913	6227	585
914	6234	579
915	6241	572
916	6247	565
917	6254	558
918	6261	551
919	6267	545
920	6274	538
921	6280	531
922	6287	524
923	6293	517
924	6299	510
925	6306	503
926	6312	497
927	6319	490
928	6325	483
929	6332	476
930	6341	469
931	6349	463
932	6363	456
933	6373	450
934	6380	443
935	6387	436
936	6393	429
937	6400	423
938	6406	416
939	6413	409
940	6419	402
941	6426	395
942	6432	388
943	6441	382
944	6447	375
945	6453	368
946	6460	361
947	6466	354
948	6472	347
949	6479	341
950	6486	334
951	6492	327
952	6502	320
953	6509	313
954	6516	307
955	6523	300
956	6529	293
957	6536	286
958	6542	279
959	6549	272
960	6555	266
961	6562	259
962	6568	252
963	6574	245
964	6581	238
965	6588	231
966	6595	225
967	6601	218
968	6608	211
969	6615	204
970	6622	197
971	6628	190
972	6635	184
973	6641	177
974	6648	170
975	6655	163
976	6661	156
977	6667	149
978	6673	143
979	6680	136
980	6686	129
981	6692	122
982	6699	115
983	6705	109
984	6712	102
985	6718	95
986	6724	88
987	6731	81
988	6737	74
989	6744	68
990	6751	61
991	6758	54
992	6764	47
993	6771	40
994	6778	34
995	6785	27
996	6792	20
997	6798	13
998	6805	6
999	6812	0
